ID	YEAR	1a	1b	1c	1d	1e	1f	1g	2a	2b	2c	2d	3a	3b	3c	3d	3e	3f	3g	3h
60	2020	-1	-1	-1	-1	1	1	1	-1	NA	NA	1	1	-1	0	0	1	1	-1	1
61	2020	-1	-1	-1	0	1	1	1	-1	-1	-1	1	0	-1	1	-1	0	-1	0	0
62	2020	0	-1	-1	1	1	1	0	-1	-1	-1	1	-1	-1	0	0	1	0	0	0
63	2020	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	0	-1	1	0	-1	-1
64	2020	-1	-1	-1	1	NA	1	1	-1	0	0	1	1	-1	1	0	0	0	0	0
65	2020	-1	-1	-1	0	1	1	0	-1	-1	-1	1	1	-1	0	-1	1	0	-1	-1
66	2020	0	-1	-1	1	1	1	0	-1	-1	-1	1	-1	-1	1	-1	0	-1	-1	-1
67	2020	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1
68	2020	-1	-1	-1	1	-1	0	1	-1	-1	-1	1	-1	-1	-1	-1	1	0	-1	-1
69	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	-1
70	2020	-1	-1	-1	-1	1	0	0	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
71	2020	NA	-1	-1	1	1	1	NA	-1	-1	-1	1	1	-1	0	-1	1	0	-1	-1
72	2020	-1	-1	NA	1	0	1	1	-1	1	1	1	1	-1	1	0	1	0	-1	0
73	2020	-1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	0	0	0
74	2020	1	1	0	1	-1	0	-1	-1	0	0	1	-1	0	1	0	1	0	-1	1
75	2020	0	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	0
76	2020	-1	-1	-1	1	0	1	1	-1	-1	0	0	1	-1	1	-1	0	-1	-1	-1
77	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1
78	2020	-1	-1	-1	-1	1	1	0	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-1
79	2020	1	-1	-1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	-1	-1	-1
80	2020	-1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	-1	-1	0
81	2020	-1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	1	0	1	-1	-1	-1
82	2020	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1
83	2020	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	1	1	-1	1	-1	1	1	-1	1
84	2020	1	-1	-1	1	1	-1	0	-1	-1	1	1	1	-1	1	0	0	-1	-1	1
85	2020	-1	-1	-1	0	-1	1	1	-1	-1	-1	1	-1	-1	1	0	1	0	-1	-1
86	2020	1	-1	-1	1	1	0	-1	-1	-1	0	1	1	-1	1	-1	0	0	0	0
87	2020	1	-1	-1	1	1	1	-1	-1	1	0	1	-1	-1	1	1	1	-1	-1	0
88	2020	1	-1	-1	1	NA	NA	NA	-1	-1	1	1	1	0	1	-1	0	0	0	0
89	2020	-1	-1	-1	-1	1	1	1	NA	NA	NA	1	1	0	0	0	0	0	0	0
90	2020	NA	NA	NA	1	NA	NA	NA	-1	NA	NA	1	0	0	1	0	1	0	0	0
91	2020	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	0	1	0	-1	1
92	2020	-1	-1	-1	0	1	1	1	-1	1	1	1	-1	-1	1	-1	0	-1	-1	-1
93	2020	-1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
94	2020	-1	-1	-1	-1	1	-1	1	-1	1	0	1	-1	-1	1	-1	1	-1	-1	1
95	2020	1	-1	-1	1	1	1	0	-1	-1	0	1	1	-1	0	-1	1	-1	-1	-1
96	2020	-1	-1	-1	0	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	0	-1	-1
97	2020	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	0	-1	-1	-1
98	2020	-1	-1	-1	-1	1	1	1	NA	NA	NA	1	0	0	1	0	0	0	0	0
99	2020	-1	-1	-1	1	1	1	0	-1	1	1	-1	0	-1	1	-1	1	0	-1	-1
100	2020	1	-1	-1	1	1	1	-1	0	1	1	0	1	-1	-1	-1	0	-1	-1	-1
101	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
102	2020	-1	-1	-1	-1	1	1	1	NA	NA	NA	1	1	0	0	0	0	0	0	0
103	2020	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	1
104	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	0	1	-1	-1	1
105	2020	1	-1	-1	1	1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1
106	2020	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1
107	2020	-1	-1	-1	-1	1	1	1	-1	0	1	1	1	-1	1	-1	1	0	-1	1
108	2020	-1	-1	-1	1	0	-1	-1	-1	1	1	1	0	-1	1	0	1	1	-1	-1
109	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	0	1	1	-1	1
110	2020	1	0	0	1	-1	1	-1	-1	NA	-1	1	0	0	0	0	0	0	0	0
111	2020	1	0	0	1	1	1	1	NA	NA	NA	NA	0	-1	-1	-1	1	-1	-1	-1
112	2020	-1	-1	-1	-1	1	1	1	-1	-1	1	0	1	-1	0	1	1	-1	-1	1
113	2020	-1	-1	-1	0	-1	1	0	-1	-1	-1	1	-1	0	1	0	0	-1	-1	-1
114	2020	1	1	0	1	-1	0	-1	-1	-1	-1	1	1	-1	1	-1	1	0	-1	-1
115	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	0	-1	0	-1	-1	-1
116	2020	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	-1	0
117	2020	-1	-1	0	1	0	0	1	-1	-1	-1	1	0	-1	1	-1	1	-1	-1	-1
118	2020	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	0	-1	1	-1	-1	-1
119	2020	1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	0	1	0
120	2020	-1	-1	-1	1	-1	0	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1
121	2020	1	-1	-1	1	-1	0	-1	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1
122	2020	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1
123	2020	-1	-1	-1	-1	1	1	0	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1
124	2020	-1	-1	-1	-1	1	1	0	-1	-1	-1	1	0	1	0	-1	1	0	1	-1
125	2020	1	-1	-1	1	-1	0	1	1	-1	-1	1	1	-1	1	-1	1	1	-1	1
126	2020	-1	-1	-1	1	0	1	1	0	-1	1	1	1	1	1	1	1	1	1	1
127	2020	-1	-1	1	1	-1	1	1	-1	-1	0	1	1	-1	1	-1	1	0	-1	-1
128	2020	1	-1	-1	1	0	0	0	-1	-1	0	1	1	-1	1	-1	1	0	-1	-1
129	2020	-1	-1	-1	1	0	NA	-1	-1	-1	-1	1	1	-1	0	0	0	-1	-1	1
130	2020	0	0	0	0	0	0	0	0	-1	-1	1	-1	-1	1	-1	1	-1	-1	0
131	2020	-1	-1	-1	1	0	1	-1	-1	-1	0	1	1	-1	0	0	1	1	-1	-1
132	2020	1	-1	-1	1	0	0	-1	-1	-1	-1	1	1	-1	1	-1	1	0	-1	1
